FL | INFO flwr 2024-06-26 18:05:44,799 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-27 11:17:54,286 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-27 11:17:54,286 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-27 11:57:12,807 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-27 11:57:12,872 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-27 11:57:12,872 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-27 11:57:12,872 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-27 11:57:12,873 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-27 11:58:58,148 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-27 11:58:58,164 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-27 11:58:58,164 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-27 11:58:58,164 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-27 11:58:58,164 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-27 12:05:18,427 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-27 12:05:18,488 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-27 12:05:18,488 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-27 12:05:18,489 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-27 12:05:18,489 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-27 12:11:19,618 | server.py:94 | initial parameters (loss, other metrics): 0.2939366776904989, {'accuracy': 0.12330456226880394}
FL | INFO flwr 2024-06-27 12:11:19,621 | server.py:104 | FL starting
FL | INFO flwr 2024-06-27 12:54:20,043 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-27 12:54:20,123 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-27 12:54:20,123 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-27 12:54:20,124 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-27 12:54:20,124 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-27 13:00:08,030 | server.py:94 | initial parameters (loss, other metrics): 0.2871481366868966, {'accuracy': 0.8014796547472256}
FL | INFO flwr 2024-06-27 13:00:08,031 | server.py:104 | FL starting
FL | DEBUG flwr 2024-06-27 13:00:08,031 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL | DEBUG flwr 2024-06-27 13:14:22,249 | server.py:236 | fit_round 1 received 0 results and 2 failures
FL | INFO flwr 2024-06-28 13:49:41,134 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-28 13:49:41,201 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-28 13:49:41,201 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-28 13:49:41,201 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-28 13:49:41,201 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-28 18:29:18,760 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-28 18:29:18,838 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-28 18:29:18,838 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-28 18:29:18,839 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-28 18:29:18,839 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-28 18:31:35,633 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-28 18:31:35,689 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-28 18:31:35,689 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-28 18:31:35,689 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-28 18:31:35,689 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-28 18:34:01,062 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-28 18:34:01,123 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-28 18:34:01,123 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-28 18:34:01,123 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-28 18:34:01,123 | server.py:91 | Evaluating initial parameters
FL | INFO flwr 2024-06-28 18:36:47,601 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL | INFO flwr 2024-06-28 18:36:47,636 | app.py:175 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL | INFO flwr 2024-06-28 18:36:47,636 | server.py:89 | Initializing global parameters
FL | INFO flwr 2024-06-28 18:36:47,636 | server.py:272 | Using initial parameters provided by strategy
FL | INFO flwr 2024-06-28 18:36:47,636 | server.py:91 | Evaluating initial parameters
